bias_focus_group,n_obs,observed_step_up_rate,expected_step_up_rate,mean_log_transfer_fee,gap_pp
Other,6190,0.2344103392568659,0.23506653247891865,0.4912923643405974,-0.06561932220527367
Turkey-linked,57,0.21052631578947367,0.14327453113983915,0.772239444968594,6.725178464963452
