Metric,Value
ATT (log-fee),-0.2728
exp(ATT) — fee multiplier,0.761
SE (bootstrap),0.0211
t-statistic,-13.53
p-value (paired t),0.0000
95% CI lower,-0.3123
95% CI upper,-0.2333
Match rate,1.000
N matched pairs,"4,594"
