position_group,n_obs,coef,std_err,p_value,ci_low,ci_high,adj_r2
Attacker,2267,-0.05357607329793035,0.032170711295125734,0.09583935853039646,-0.1166295087934127,0.009477362197552006,0.09607998039574472
Defender,2160,-0.033037692107929256,0.03734400571182098,0.37632639757697095,-0.10623059834155643,0.04015521412569792,0.10061385197083872
Goalkeeper,627,-0.03276456839827726,0.019549667296697354,0.09374494575387363,-0.0710812122095446,0.005552075412990076,0.06013367004843628
Midfielder,1988,-0.024516561318445304,0.022256649639381905,0.27066226293235807,-0.06813879302816023,0.019105670391269612,0.09474901468584418
