origin_league,La Liga,Serie A,Bundesliga,Eredivisie,Ligue 1,EPL,Championship
La Liga,0,81,58,27,82,141,66
Serie A,121,0,29,25,79,107,58
Bundesliga,74,61,0,71,69,122,40
Eredivisie,19,27,60,0,25,68,48
Ligue 1,60,51,40,17,0,96,39
EPL,20,11,11,13,24,0,491
Championship,0,0,1,0,3,113,0
