Metric,Value
Total transfers,"35,013"
Unique players,"13,602"
Dest leagues,7
Seasons,13
Non-zero fee transfers,"9,162 (26.2%)"
Median fee (€M),€0.00M
Max fee (€M),€0.0M
Origin pressure mapped,20.1%
