group_label,n_obs,observed_elite_rate,expected_elite_rate,mean_log_transfer_fee,gap_pp,elite_threshold_log_fee,elite_threshold_fee_eur
EU,3616,0.252212389380531,0.2686177475955104,0.6161053777401785,-1.6405358214979404,1.0986122886681098,2.0000000000000004
Non-EU,560,0.38392857142857145,0.2782888393203422,0.8794610018677963,10.563973210822924,1.0986122886681098,2.0000000000000004
